TENANTID,METRICSUMMARYSEQ,PIPELINERUNSEQ,STAGETYPESEQ,ISACTIVE,STARTTIME,STOPTIME,STATUS,CONTROLLERHOST,INITIALIZERTIME,FINALIZERTIME,REMOVEDATE,ISPOSTED
0001,21110623253299367,20547673299877891,21673573206720545,1,2018-09-27 16:40:06.591000000,2018-09-27 16:40:06.815000000,Successful,,,,2200-01-01 00:00:00.000000000,0
0001,21110623253299368,20547673299877891,21673573206720519,0,2018-09-27 16:40:07.441000000,2018-09-27 16:40:08.326000000,Successful,,,,2018-09-28 04:57:40.947000000,0
0001,21110623253299369,20547673299877891,21673573206720527,1,2018-09-27 16:40:12.482000000,2018-09-27 16:40:12.759000000,Successful,,,,2200-01-01 00:00:00.000000000,0
0001,21110623253299481,20547673299877892,21673573206720546,1,2018-09-27 19:58:07.142000000,2018-09-27 19:58:10.936000000,Successful,,,,2200-01-01 00:00:00.000000000,0
0001,21110623253299482,20547673299877892,21673573206720513,1,2018-09-27 19:58:11.945000000,2018-09-27 19:58:13.594000000,Successful,,,,2200-01-01 00:00:00.000000000,0
0001,21110623253299483,20547673299877892,21673573206720543,1,2018-09-27 19:58:14.321000000,2018-09-27 19:58:14.511000000,Successful,,,,2200-01-01 00:00:00.000000000,0
0001,21110623253299484,20547673299877892,21673573206720514,1,2018-09-27 19:58:15.235000000,2018-09-27 19:58:19.443000000,Successful,,,,2200-01-01 00:00:00.000000000,0
0001,21110623253299485,20547673299877892,21673573206720542,1,2018-09-27 19:58:20.171000000,2018-09-27 19:58:20.363000000,Successful,,,,2200-01-01 00:00:00.000000000,0
0001,21110623253299486,20547673299877892,21673573206720515,0,2018-09-27 19:58:20.987000000,2018-09-27 19:58:21.335000000,Successful,,,,2018-10-01 02:36:59.258000000,0
0001,21110623253299487,20547673299877892,21673573206720541,1,2018-09-27 19:58:22.847000000,2018-09-27 19:58:23.035000000,Successful,,,,2200-01-01 00:00:00.000000000,0
0001,21110623253299488,20547673299877892,21673573206720538,1,2018-09-27 19:58:23.660000000,2018-09-27 19:58:23.844000000,Successful,,,,2200-01-01 00:00:00.000000000,0
0001,21110623253299489,20547673299877892,21673573206720516,0,2018-09-27 19:58:24.468000000,2018-09-27 19:58:26.706000000,Successful,,,,2018-10-01 02:36:59.258000000,0
0001,21110623253299490,20547673299877892,21673573206720561,1,2018-09-27 19:58:26.918000000,2018-09-27 19:58:27.160000000,Successful,,,,2200-01-01 00:00:00.000000000,0
0001,21110623253299491,20547673299877892,21673573206720562,1,2018-09-27 19:58:28.067000000,2018-09-27 19:58:28.316000000,Successful,,,,2200-01-01 00:00:00.000000000,0
0001,21110623253299492,20547673299877892,21673573206720547,1,2018-09-27 19:58:29.224000000,2018-09-27 19:58:29.452000000,Successful,,,,2200-01-01 00:00:00.000000000,0
0001,21110623253299493,20547673299877892,21673573206720517,0,2018-09-27 19:58:30.175000000,2018-09-27 19:58:36.563000000,Successful,,,,2018-10-01 02:36:59.258000000,0
0001,21110623253299494,20547673299877892,21673573206720551,1,2018-09-27 19:58:37.288000000,2018-09-27 19:58:37.615000000,Successful,,,,2200-01-01 00:00:00.000000000,0
0001,21110623253299495,20547673299877892,21673573206720518,0,2018-09-27 19:58:39.348000000,2018-09-27 19:58:39.684000000,Successful,,,,2018-10-01 02:36:59.258000000,0
0001,21110623253299496,20547673299877892,21673573206720545,1,2018-09-27 19:58:44.875000000,2018-09-27 19:58:45.098000000,Successful,,,,2200-01-01 00:00:00.000000000,0
0001,21110623253299497,20547673299877892,21673573206720519,0,2018-09-27 19:58:45.826000000,2018-09-27 19:58:46.704000000,Successful,,,,2018-10-01 02:36:59.258000000,0
0001,21110623253299498,20547673299877892,21673573206720527,1,2018-09-27 19:58:50.945000000,2018-09-27 19:58:51.229000000,Successful,,,,2200-01-01 00:00:00.000000000,0
0001,21110623253299610,20547673299877893,21673573206720546,1,2018-09-30 17:37:29.307000000,2018-09-30 17:37:32.599000000,Successful,,,,2200-01-01 00:00:00.000000000,0
0001,21110623253299611,20547673299877893,21673573206720513,1,2018-09-30 17:37:33.599000000,2018-09-30 17:37:35.197000000,Successful,,,,2200-01-01 00:00:00.000000000,0
